scheduler,planner,order_mode,Tasks Completed,Task Success Rate,Total Task Time,Avg Task Time,Throughput,Total AGV Collisions,Scheduler Calls,Scheduler Total Time,Scheduler Avg Time,Planner Calls,Planner Total Time,Planner Avg Time,Decision Total Time,Sim Steps,finished,sim_steps
random,astar,oneshot,100.0,1.0,22107.6,221.07600000000005,0.20554131511232157,98.06,191.91,0.003445687000257749,1.8325971841474674e-05,324.54,0.41324656599905213,0.0012725967923059103,0.41669225299930984,490.01,1.0,490.01
random,astar,continuous_constant,100.0,1.0,4115.89,41.158899999999996,0.1847434998617644,94.46,243.37,0.0018317560009927546,7.547450455917548e-06,349.3,0.4756777819996205,0.001362854827964064,0.47750953800061324,542.47,1.0,542.47
random,astar,continuous_periodic,100.0,1.0,17367.96,173.67959999999997,0.20495522091321458,90.13,235.39,0.0034536769995247595,1.4870223266160358e-05,309.8,0.41905306199994813,0.001350641756440076,0.4225067389994729,491.05,1.0,491.05
random,astar,continuous_pareto,94.13,0.9412999999999996,21905.98,233.16837528773624,0.13545836798071542,120.35,337.81,0.005687606001993117,1.6792466305027446e-05,455.45,0.7585560180004358,0.0016664104978039674,0.764243624002429,695.72,0.11,695.72
random,astar,continuous_burst,100.0,1.0,18434.5,184.345,0.20214801459969134,88.23,218.48,0.003048471999281901,1.4221279885006025e-05,316.86,0.4308145499967213,0.001357270618539147,0.43386302199600324,497.9,1.0,497.9
random,cbs_fw,oneshot,99.09,0.9908999999999999,20757.36,209.27126937770555,0.21458658055442453,101.59,178.85,0.0033259169980374283,1.9002261339682807e-05,321.28,0.6707475420007176,0.0018872237812289153,0.674073458998755,469.48,0.95,469.48
random,cbs_fw,continuous_constant,99.82,0.9982,3605.65,36.12216482558138,0.18625910672997656,72.93,270.31,0.0016566229989985004,6.126858542097313e-06,356.79,0.538141670000532,0.0015040559286224205,0.5397982929995305,537.87,0.98,537.87
random,cbs_fw,continuous_periodic,99.07,0.9906999999999999,16828.9,169.01830113960116,0.20399837523261855,96.15,264.22,0.003939888000240898,1.5176563564715167e-05,331.13,0.511719341000844,0.0015173661488053845,0.5156592290010849,491.9,0.98,491.9
random,cbs_fw,continuous_pareto,87.83,0.8782999999999999,19095.45,205.44384520648111,0.12729772621982716,511.26,331.83,0.005440860999970027,1.7099268749499875e-05,503.85,1.0145787299981384,0.002012836774569276,1.0200195909981085,692.19,0.16,692.19
random,cbs_fw,continuous_burst,100.0,1.0,18042.27,180.4227,0.19964033187692837,45.22,257.37,0.0034770260002733267,1.3738722125843183e-05,334.07,0.4876270490007482,0.0014603587760961274,0.49110407500102154,503.73,1.0,503.73
random,dhc,oneshot,71.09,0.7109000000000002,15451.23,216.54596133404263,0.1015571428571428,1202.61,359.3,0.00879150800054049,2.482373387165939e-05,700.0,11.46809780800384,0.016382996868576916,11.476889316004382,700.0,0.0,700.0
random,dhc,continuous_constant,70.12,0.7011999999999997,3164.57,45.30129634224182,0.10017142857142854,1269.06,345.14,0.00667708999630122,1.9424744360648625e-05,700.0,11.517142735999132,0.016453061051427336,11.523819825995433,700.0,0.0,700.0
random,dhc,continuous_periodic,80.05,0.8004999999999997,15305.09,190.93110001231653,0.11435714285714288,1216.02,316.87,0.007140001003008365,2.2940130732501475e-05,700.0,11.516893736997444,0.016452705338567783,11.524033738000453,700.0,0.0,700.0
random,dhc,continuous_pareto,66.19,0.6618999999999998,15969.7,236.16757524885327,0.09455714285714288,1227.7,146.65,0.004787989000469679,3.3656347793255286e-05,700.0,11.482169432997999,0.016403099189997147,11.486957421998468,700.0,0.0,700.0
random,dhc,continuous_burst,76.76,0.7676000000000003,15436.36,200.5832626079291,0.10965714285714288,1326.66,313.01,0.007187746003110078,2.352847138216937e-05,700.0,11.530784543006448,0.016472549347152067,11.537972289009558,700.0,0.0,700.0
ta,astar,oneshot,100.0,1.0,9504.95,95.04950000000004,0.4217009108740761,52.63,132.16,0.003361197999838623,2.647437878978227e-05,151.9,0.19779942999975902,0.0013005513405380262,0.20116062799959764,240.56,1.0,240.56
ta,astar,continuous_constant,99.98,0.9998,2756.19,27.56708571428571,0.19929958936212594,86.36,308.16,0.004760777999072161,1.5608291060584377e-05,296.34,0.39586967299543174,0.0013362812812507672,0.4006304509945039,502.51,0.99,502.51
ta,astar,continuous_periodic,100.0,1.0,8895.87,88.95870000000001,0.3201704307153151,50.46,206.73,0.004938264996599173,2.424555653814409e-05,186.6,0.24263861900002667,0.0012982686411456346,0.24757688399662584,314.65,1.0,314.65
ta,astar,continuous_pareto,100.0,1.0,7983.24,79.8324,0.2839889256415367,52.01,253.61,0.004448658999390318,1.79808068890894e-05,212.59,0.28666725799896087,0.001341635361304598,0.29111591699835115,356.75,1.0,356.75
ta,astar,continuous_burst,100.0,1.0,9527.18,95.2718,0.31892608108956283,47.15,214.78,0.004342699003027519,2.071407429415593e-05,178.65,0.2350407309991715,0.0013124353597026026,0.23938343000219903,316.71,1.0,316.71
ta,cbs_fw,oneshot,98.69,0.9869000000000001,8054.54,81.04478589743594,0.4533022379842259,150.32,140.23,0.0033183089984595428,2.6973780361095917e-05,158.22,1.184873590998941,0.0033675373013206168,1.1881918999974004,231.89,0.97,231.89
