scheduler,planner,order_mode,Tasks Completed,Task Success Rate,Total Task Time,Avg Task Time,Throughput,Total AGV Collisions,Scheduler Calls,Scheduler Total Time,Scheduler Avg Time,Planner Calls,Planner Total Time,Planner Avg Time,Decision Total Time,Sim Steps,finished,sim_steps
random,astar,oneshot,100.0,1.0,21599.27,215.99269999999996,0.22008202579444558,151.25,152.13,0.0028337630000007173,1.910139868572577e-05,272.38,0.5472094260000034,0.002007081324801584,0.5500431890000042,456.58,1.0,456.58
random,astar,continuous_constant,100.0,1.0,4275.53,42.75529999999998,0.18487478424361597,151.46,213.11,0.001486270999997288,7.053905460418128e-06,315.4,0.6797100309999995,0.002148235667395834,0.6811963019999968,541.89,1.0,541.89
random,astar,continuous_periodic,100.0,1.0,16979.3,169.79300000000003,0.21956413972259473,148.4,153.5,0.0024924129999823207,1.6590920751605286e-05,274.68,0.5408576130000126,0.001967824727994011,0.5433500259999948,457.82,1.0,457.82
random,astar,continuous_pareto,97.82,0.9782,22882.57,234.1502800296,0.14275844841104712,204.4,228.69,0.0037559959999401826,1.683326548041956e-05,432.88,1.1710458509999768,0.0026326549146828554,1.1748018469999169,686.44,0.32,686.44
random,astar,continuous_burst,100.0,1.0,18273.85,182.73850000000004,0.2096729897929543,154.11,174.48,0.0025320259999767813,1.4761479015894836e-05,282.79,0.5669924420000416,0.002004809413868461,0.5695244680000183,478.76,1.0,478.76
random,cbs_fw,oneshot,100.0,1.0,20765.63,207.65629999999993,0.2268712611663819,38.74,153.99,0.0027768159999271803,1.844499216237626e-05,327.35,0.5474294060000614,0.0016722924577535154,0.5502062219999886,443.31,1.0,443.31
random,cbs_fw,continuous_constant,100.0,1.0,3710.16,37.101600000000005,0.18773890673234153,45.74,244.88,0.0013455149999708738,5.535666446100394e-06,390.1,0.6559810190001849,0.001682994622733231,0.6573265340001558,533.53,1.0,533.53
random,cbs_fw,continuous_periodic,100.0,1.0,16328.86,163.28860000000006,0.22613161378640823,46.01,153.75,0.002468704999964757,1.6349715347786166e-05,330.65,0.5507718149998777,0.0016654960074576986,0.5532405199998425,444.44,1.0,444.44
random,cbs_fw,continuous_pareto,98.44,0.9843999999999999,21858.32,222.21168130491515,0.146537399718525,57.05,250.91,0.0037513909999995574,1.5124408059207944e-05,515.09,0.8729804990001264,0.001691967049007412,0.876731890000126,674.68,0.46,674.68
random,cbs_fw,continuous_burst,100.0,1.0,17589.62,175.89619999999996,0.21661676677082933,39.54,174.68,0.002518694999877198,1.4631129951805402e-05,339.17,0.5778592369997295,0.001707289927274036,0.5803779319996067,463.15,1.0,463.15
random,dhc,oneshot,99.7,0.997,21973.49,220.44332544806218,0.21139048201818889,185.95,158.11,0.003459992000133525,2.3012469379604987e-05,480.24,8.887791875999856,0.01850600486627774,8.891251867999989,480.24,0.94,480.24
